drug-sample	target-sample	jaccard	pearson	spearman	cosine
REP.A004_PC3_24H:D13	CGS001_PC3_96H:CPT2:2	0.4939	-0.0546	-0.0343	-0.054
REP.A004_HT29_24H:D13	CGS001_HT29_96H:CPT2:1	0.5665	0.11	0.1375	0.1103
LJP005_MCF7_24H:P18	CGS001_MCF7_96H:FGFR1:2	0.4571	-0.058	-0.0719	-0.055
LJP005_MCF7_24H:P18	CGS001_MCF7_144H:FGFR1:2	0.499	-0.0013	-0.0012	0.0019
LJP005_MCF7_24H:P18	CGS001_MCF7_96H:FLT1:2	0.408	-0.2168	-0.2633	-0.212
LJP005_MCF7_24H:P18	CGS001_MCF7_96H:KDR:2	0.547	0.1682	0.1699	0.167
CPC015_A375_6H:BRD-A22032524-074-04-0:10	CGS001_A375_96H:CACNA1C:1	0.4192	-0.1089	-0.1672	-0.1085
REP.B004_HA1E_24H:H07	CGS001_HA1E_96H:CACNA1C:1.5	0.4632	-0.0695	-0.0902	-0.0684
REP.A004_HA1E_24H:H07	CGS001_HA1E_96H:CACNA1C:1.5	0.3926	-0.2075	-0.2761	-0.2044
CPC004_HCC515_6H:BRD-A22032524-074-04-0:10	CGS001_HCC515_96H:CACNA1D:2	0.4826	-0.0598	-0.0604	-0.06
CPC015_A375_6H:BRD-A22032524-074-04-0:10	CGS001_A375_96H:CACNA1D:1	0.59	0.1787	0.2291	0.1787
CPC004_HCC515_24H:BRD-A22032524-074-04-0:10	CGS001_HCC515_96H:CACNA1D:2	0.5593	0.118	0.1554	0.1173
CPC005_PC3_24H:BRD-A22713669-001-01-9:10	CGS001_PC3_144H:PTPN1:2	0.4714	-0.0631	-0.0549	-0.063
CPC005_A375_6H:BRD-A22713669-001-01-9:10	CGS001_A375_96H:PTPN1:1	0.6104	0.3103	0.3437	0.3135
CPC010_HA1E_6H:BRD-A24891640-001-15-5:10	CGS001_HA1E_96H:CACNA1C:1.5	0.7025	0.3941	0.4618	0.3872
REP.A001_HA1E_24H:G04	CGS001_HA1E_96H:FLT3:1.5	0.5051	-0.0091	0.0223	-0.0096
REP.A001_HA1E_24H:G03	CGS001_HA1E_96H:FLT3:1.5	0.3691	-0.2691	-0.3066	-0.2669
